Location,Nov-16,Jan-17,Mar-17,May-17,Jul-17,Sep-17,Nov-17,Jan-18,Mar-18,May-18,Jul-18,Sep-18,Nov-18,Jan-19,Mar-19,May-19,Jul-19,Sep-19,Nov-19,Jan-20,Mar-20,May-20,Jul-20,Sep-20,Nov-20,Jan-21,Mar-21,May-21,Jul-21,Sep-21,Nov-21,Jan-22,Mar-22,May-22,Jul-22,Sep-22,Nov-22
>50m,0.793,0.71,0.79,0.77,0.766,0.785,0.753,0.615,0.804,0.816,0.823,0.825,0.586,0.821,0.75,0.828,0.787,0.777,0.81,0.692,0.772,0.767,0.805,0.799,0.734,0.772,0.791,0.811,0.804,0.724,0.749,0.754,0.788,0.806,0.786,0.817,0.763
>50m,0.72,0.482,0.831,0.75,0.793,0.753,0.7,0.421,0.793,0.781,0.829,0.79,0.727,0.677,0.647,0.766,0.764,0.774,0.763,0.523,0.786,0.775,0.779,0.797,0.75,0.686,0.786,0.845,0.756,0.816,0.666,0.658,0.795,0.798,0.775,0.783,0.663
>50m,0.785,0.524,0.816,0.778,0.77,0.867,0.735,0.462,0.771,0.672,0.821,0.816,0.719,0.638,0.523,0.76,0.788,0.855,0.754,0.472,0.801,0.742,0.691,0.775,0.77,0.399,0.823,0.841,0.766,0.761,0.704,0.496,0.711,0.777,0.768,0.803,0.628
>50m,0.773,0.566,0.823,0.747,0.787,0.78,0.686,0.372,0.78,0.639,0.827,0.836,0.728,0.653,0.473,0.705,0.796,0.789,0.785,0.318,0.77,0.696,0.722,0.781,0.789,0.376,0.833,0.816,0.793,0.771,0.732,0.373,0.49,0.76,0.764,0.764,0.76
>50m,0.794,0.597,0.784,0.835,0.834,0.833,0.736,0.541,0.825,0.793,0.815,0.748,0.585,0.702,0.741,0.783,0.786,0.811,0.694,0.477,0.832,0.797,0.754,0.762,0.776,0.644,0.776,0.819,0.804,0.779,0.708,0.59,0.635,0.697,0.761,0.724,0.746
>50m,0.774,0.613,0.767,0.841,0.78,0.757,0.792,0.442,0.769,0.724,0.783,0.636,0.718,0.666,0.675,0.827,0.773,0.73,0.774,0.658,0.798,0.758,0.782,0.788,0.761,0.518,0.802,0.822,0.811,0.862,0.778,0.66,0.798,0.789,0.812,0.762,0.732
>50m,0.741,0.481,0.768,0.808,0.735,0.815,0.776,0.593,0.801,0.669,0.796,0.757,0.698,0.69,0.578,0.8,0.758,0.806,0.797,0.454,0.75,0.678,0.757,0.778,0.755,0.366,0.728,0.863,0.811,0.755,0.71,0.591,0.599,0.469,0.669,0.789,0.749
>50m,0.768,0.479,0.765,0.838,0.778,0.778,0.778,0.509,0.817,0.747,0.792,0.826,0.657,0.646,0.745,0.762,0.771,0.815,0.726,0.377,0.805,0.589,0.721,0.782,0.725,0.329,0.722,0.797,0.767,0.752,0.72,0.839,0.722,0.74,0.769,0.805,0.724
>50m,0.799,0.477,0.774,0.774,0.79,0.806,0.76,0.601,0.786,0.774,0.786,0.758,0.675,0.797,0.768,0.772,0.787,0.776,0.798,0.433,0.768,0.795,0.771,0.771,0.773,0.544,0.741,0.852,0.746,0.77,0.769,0.643,0.69,0.722,0.795,0.715,0.804
>50m,0.809,0.544,0.804,0.8,0.789,0.848,0.74,0.494,0.786,0.482,0.711,0.773,0.302,0.647,0.344,0.778,0.711,0.758,0.729,0.557,0.793,0.333,0.517,0.747,0.697,0.511,0.846,0.616,0.718,0.784,0.763,0.442,0.719,0.209,0.587,0.761,0.788
